timestamp,edges_intersection_rate,lci_intersection_rate,median_intersection_rate,uci_intersection_rate,matched_paths,total_paths
20190121,0.9930466843238714,0.9926576668180015,0.9930466843238714,0.999948324636832,74140.45,74613.77
20190123,0.9796157651151229,0.9757186075109126,0.9796157651151229,0.988953870646716,74867.31,76366.64
20190128,0.8752753157996875,0.8606458698522708,0.8752753157996875,0.8981950318008505,69815.66,79622.95
20190129,0.9608290840143577,0.9557153650084347,0.9608290840143577,0.9715914018274592,70580.4,73384.31
20190130,0.8891959762018915,0.8811535650558203,0.8891959762018915,0.9022922254262888,66390.24,74547.15
20190220,0.6813600893060399,0.6805848357515285,0.6813600893060399,0.6815146753581364,34434.98,50545.1
20190225,0.9853177252274872,0.9729376147411032,0.9853177252274872,0.9943048231920555,160785.83,163255.04
20190226,0.9995056097895247,0.9988420447467148,0.9995056097895247,1.0,195834.35,195903.46
20190227,0.9981276397729868,0.993394392781107,0.9981276397729868,1.0,200412.56,200946.15
20190228,0.9979411161772038,0.9952845511330816,0.9979411161772038,1.0,205766.69,206184.23
20190303,0.9874771748826321,0.9799888853472246,0.9874771748826321,0.993687352219412,233536.63,236632.84
20190304,0.9974305248920649,0.9932036423911853,0.9974305248920649,0.9996181416966037,268505.53,269273.28
20190306,0.98931448339819,0.9485653864347595,0.98931448339819,0.9992368967343047,2722.11,2766.88
20190311,0.9486587378323168,0.8795410568809643,0.9486587378323168,0.9869170820690651,2650.87,2807.99
20190312,0.9901418026418027,0.9608223234624146,0.9901418026418027,0.9996584144958349,2691.25,2727.4
20190313,0.9851896155471961,0.9420738359323391,0.9851896155471961,0.9986084674879027,2643.34,2693.66
20190314,0.9869550766968919,0.9403270912237645,0.9869550766968919,0.9992906834972761,2554.78,2603.07
20190317,0.9068872986476577,0.8217810165410363,0.9068872986476577,0.9696781082028512,2449.45,2699.0
20190318,0.9538190151385089,0.8892576570259291,0.9538190151385089,0.9932850199329188,2395.3,2527.76
20190428,0.8068818602404584,0.691570883593918,0.8068818602404584,0.8947090144782442,1927.97,2399.78
20190429,0.9996574157825973,0.9646836154350895,0.9996574157825973,1.0,2934.19,2955.18
20190501,0.9870483443748689,0.9481898881965127,0.9870483443748689,1.0,2913.29,2963.39
20190506,0.9260170927516205,0.8415188816107619,0.9260170927516205,0.9753229682663734,2675.98,2907.45
20190507,0.9793473901131526,0.9402665667149193,0.9793473901131526,1.0,2724.38,2788.57
20190508,0.9729941903079213,0.9211291856527737,0.9729941903079213,0.9984322033898305,2616.0,2697.52
20190509,0.9670293218501975,0.8997908755863302,0.9670293218501975,0.9977762021974886,2614.55,2713.76
20190617,0.7873196715537013,0.6713823169404206,0.7873196715537013,0.8894122055806066,2105.27,2677.7
20190618,0.9993308266455144,0.9633395215608143,0.9993308266455144,1.0,2869.47,2893.12
20190619,0.9958787639029303,0.9603895273707801,0.9958787639029303,1.0,2864.71,2894.85
20190620,0.9941709876060116,0.9549564692121171,0.9941709876060116,1.0,2863.52,2896.91
